Address,Latitude,Longitude
"1-3 Swanson Street, ERSKINEVILLE  NSW  2043",-33.900085100000005,151.1849762
"1-3 Taylor Street, DARLINGHURST  NSW  2010",-33.882016799999995,151.21786630000003
"1-31 Cooper Street, SURRY HILLS  NSW  2010",-33.8856807,151.20887380000005
"1-33 Saunders Street, PYRMONT  NSW  2009",-33.870064299999996,151.1903244
"1-37 Greens Road, PADDINGTON  NSW  2021",-33.883979100000005,151.2202156
"1-5 Carillon Avenue, CAMPERDOWN  NSW  2050",-33.8910427,151.18793349999999
"1-5 Cumberland Street, DAWES POINT  NSW  2000",-33.85727720000001,151.207528
"1-5 Flinders Street, SURRY HILLS  NSW  2010",-33.8813186,151.21684530000005
"1-5 Harwood Street, PYRMONT  NSW  2009",-33.8707115,151.1968273
"1-5 Hunter Street, WATERLOO  NSW  2017",-33.90081139999999,151.2069977
"1-5 Park Lane, CHIPPENDALE  NSW  2008",-33.8854417,151.2008466
"1-5 Randle Street, SURRY HILLS  NSW  2010",-33.8848246,151.2078592
"1-5 Rosebank Street, DARLINGHURST  NSW  2010",-33.8755664,151.2206679
"1-5 Spring Street, SYDNEY  NSW  2000",-33.8642502,151.20928909999995
"1-5 Wentworth Street, GLEBE  NSW  2037",-33.879992200000004,151.1937364
"1-5 Wheat Road, SYDNEY  NSW  2000",-33.8695072,151.201962
"1-59 Quay Street, HAYMARKET  NSW  2000",-33.8801026,151.2020226
"1-7 Argyle Place, MILLERS POINT  NSW  2000",-33.85815420000001,151.202897
"1-7 Bayswater Road, POTTS POINT  NSW  2011",-33.8751001,151.2226706
"1-7 Belmore Street, SURRY HILLS  NSW  2010",-33.8831684,151.21083259999997
"1-7 Bourke Street, WOOLLOOMOOLOO  NSW  2011",-33.8689223,151.2190974
"1-7 Castlereagh Street, SYDNEY  NSW  2000",-33.8663934,151.20971699999996
"1-7 Kendall Street, SURRY HILLS  NSW  2010",-33.8870875,151.21624319999995
"1-7 Leichhardt Street, DARLINGHURST  NSW  2010",-33.880385499999996,151.22201189999996
"1-7 Moorgate Street, CHIPPENDALE  NSW  2008",-33.8851076,151.19652109999996
"1-7 Pelican Street, SURRY HILLS  NSW  2010",-33.8783096,151.2131125
"1-7 Queens Avenue, RUSHCUTTERS BAY  NSW  2011",-33.874902,151.2277471
"1-7 Raglan Street, WATERLOO  NSW  2017",-33.8966936,151.2060358
"1-7 Stirling Street, REDFERN  NSW  2016",-33.8911239,151.20317980000004
"1-7 Walsh Avenue, GLEBE  NSW  2037",-33.8795139,151.18298090000005
"1-7 Wellington Street, CHIPPENDALE  NSW  2008",-33.8865718,151.2005189
"1-73 Broadway, ULTIMO  NSW  2007",-33.8841105,151.1966418
"1-9 Buckingham Street, SURRY HILLS  NSW  2010",-33.8862264,151.20749809999995
"1-9 Glebe Point Road, GLEBE  NSW  2037",-33.884096299999996,151.1928701
"1-9 Lachlan Street, WATERLOO  NSW  2017",-33.900464299999996,151.21067209999995
"1-9 Marian Street, REDFERN  NSW  2016",-33.8931679,151.1982942
"1-9 Pyrmont Bridge Road, PYRMONT  NSW  2009",-33.8702026,151.1971862
"1-9 Regent Street, CHIPPENDALE  NSW  2008",-33.8844658,151.20217419999997
"10 Ada Street, ERSKINEVILLE  NSW  2043",-33.898810600000004,151.1887824
"10 Allen Street, GLEBE  NSW  2037",-33.8759932,151.1830977
"10 Asquith Avenue, ROSEBERY  NSW  2018",-33.91967929999999,151.2082179
"10 Bartley Street, CHIPPENDALE  NSW  2008",-33.8878269,151.1994675
"10 Bellevue Street, SURRY HILLS  NSW  2010",-33.8836873,151.2118675
"10 Bennett Street, NEWTOWN  NSW  2042",-33.893806899999994,151.1868676
"10 Bennett Street, SURRY HILLS  NSW  2010",-33.8863119,151.21678119999999
"10 Bourke Street, WOOLLOOMOOLOO  NSW  2011",-33.8694301,151.2194131
"10 Boyce Street, GLEBE  NSW  2037",-33.877207,151.18391640000004
"10 Bradford Street, ALEXANDRIA  NSW  2015",-33.9187935,151.19514909999995
"10 Bray Street, ERSKINEVILLE  NSW  2043",-33.9053648,151.18155269999997
"10 Bridge Road, GLEBE  NSW  2037",-33.876474200000004,151.189004
"10 Bridge Street, SYDNEY  NSW  2000",-33.8634155,151.20818359999996
